,file_name,transcription,mms_model_transcription
0,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3818_9.3200_0.6400.wav,好的,h的
1,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3823_15.3200_0.7810.wav,呃,<unk>
2,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3825_16.5740_2.8760.wav,what's your major and your hobbies,what's yor najer and your hov
3,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3832_24.0000_0.9000.wav,e c e,所
4,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3834_25.3200_1.3600.wav,呃what's the呃,对我s么
5,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3839_31.0600_0.8400.wav,ok I see,ok <unk> see
6,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3846_38.1200_0.9900.wav,yeah I see,yh  see
7,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3850_40.5500_4.6900.wav,我们专业专业课程有一些是那个你们那个专业的,我们专业专然课常有一些人是那个你们那个专业的
8,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3854_46.7800_0.4000.wav,呃不是,不是
9,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3856_48.7500_4.0300.wav,no我专业是那个i s m information systems management,那我觉是那个<unk><unk>m information systems managment
10,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3859_53.6000_1.8000.wav,no bussiness school,那<unk>e较能sk
